Error Location,Error Type,Row Number,Value,Column Name,Bank_Name
Comparison Error,More Than Expected Value,26,"[1.6, 1.588]",Interest,CAPITAL ONE
Comparison Error,More Than Expected Value,30,"[2.1, 2.08]",Interest,CITIGROUP INC
Comparison Error,More Than Expected Value,31,"[2.35, 2.325]",Interest,CITIGROUP INC
Comparison Error,More Than Expected Value,136,"[1.35, 1.34]",Interest,SUNTRUST BANKS INC
