Error Location,Error Type,Row Number,Value,Column Name,Bank_Name
typeFieldError,Type Not Found,195,0,APY,ALLY
typeFieldError,Type Not Found,196,0,APY,CITIGROUP INC
Comparison Error,More Than Expected Value,26,"[1.6, 1.5884]",Interest,CAPITAL ONE
Comparison Error,More Than Expected Value,30,"[2.3, 2.2761]",Interest,CITIGROUP INC
Comparison Error,More Than Expected Value,31,"[2.55, 2.5207]",Interest,CITIGROUP INC
