Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY,Source
 2018-09-25,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,CD,0.0,,Online,12.0,Fixed,,2.50%,Bankrate.com
 2018-09-25,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield 12-Month CD,,,Online,12.0,Fixed,,2.50%,DepositAccounts.com
 2018-09-25,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CD,1.0,,Online,12.0,Fixed,,2.5%,nerdwallet.com
 2018-09-25,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CD,5000.0,,Online,12.0,Fixed,,2.5%,nerdwallet.com
 2018-09-25,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,CD,12MCDF,Certificate of Deposit,2000.0,,Online,12.0,Fixed,,2.45%,nerdwallet.com
