Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-08-10,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 5/1 ARM,,Online,30.0,Variable,4.75%,5.01658024701767%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 7/1 ARM,,Online,30.0,Variable,4.75%,4.96692199572669%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 10/1 ARM,,Online,30.0,Variable,4.75%,4.92501008088559%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage 20 Yr Fixed,,Online,20.0,Fixed,4.5%,4.514586654734821%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage 30 Yr Fixed,,Online,30.0,Fixed,4.625%,4.6403409519442%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage 15 Yr Fixed,,Online,15.0,Fixed,4.125%,4.125%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage 10 Yr Fixed,,Online,10.0,Fixed,4.125%,4.1941960018848%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30.0,Fixed,4.375%,4.729%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20.0,Fixed,4.375%,4.816%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15.0,Fixed,4.0%,4.606%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30.0,Variable,4.25%,4.927%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30.0,Variable,4.0%,4.949%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30.0,Variable,3.875%,5.031%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30.0,Fixed,4.25%,4.615%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20.0,Fixed,4.25%,4.716%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15.0,Fixed,4.0%,4.606%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30.0,Variable,4.125%,4.839%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30.0,Variable,3.875%,4.876%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30.0,Variable,3.75%,4.969%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30.0,Fixed,4.25%,4.615%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20.0,Fixed,4.25%,4.716%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15.0,Fixed,4.0%,4.606%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30.0,Variable,4.125%,4.839%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30.0,Variable,3.875%,4.876%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30.0,Variable,3.75%,4.969%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.250%,5.056%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.968%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.375%,4.939%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,3.875%,4.648%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.625%,4.976%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.335%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.500%,4.93%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,3.875%,4.451%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.625%,4.813%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.375%,4.779%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.895%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.500%,4.71%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,3.875%,4.175%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.171%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.808%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,3.875%,4.253%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,4.375%,4.643%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.125%,4.601%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.000%,4.985%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,4.375%,4.759%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.125%,4.795%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.500%,4.682%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.000%,4.645%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.500%,4.633%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,,Offline,30.0,Fixed,5.000%,5.269%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,,Offline,20.0,Fixed,4.750%,5.159%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,,Offline,15.0,Fixed,4.500%,4.977%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,,Offline,30.0,Variable,5.250%,5.542%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,,Offline,30.0,Variable,5.125%,5.478%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,,Offline,30.0,Fixed,4.750%,4.844%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,,Offline,20.0,Fixed,4.625%,4.723%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,,Offline,15.0,Fixed,4.125%,4.305%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,,Offline,30.0,Variable,4.750%,5.025%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,,Offline,30.0,Variable,4.500%,4.998%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,,Offline,30.0,Fixed,4.625%,4.659%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,,Offline,15.0,Fixed,4.250%,4.366%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,,Offline,30.0,Variable,3.875%,4.594%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,,Offline,30.0,Variable,3.875%,4.704%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_10/1,,Offline,30.0,Variable,4.375%,4.716%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30.0,Fixed,4.625%,5.481%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,FHA 15 Yr Fixed,,Offline,15.0,Fixed,4.5%,5.61%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
