Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 5/1 ARM,,Online,30.0,Variable,4.75%,4.936933625528741%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 7/1 ARM,,Online,30.0,Variable,4.75%,4.89935663355554%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 10/1 ARM,,Online,30.0,Variable,4.75%,4.87074851883642%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage 20 Yr Fixed,,Online,20.0,Fixed,4.5%,4.51482148516323%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage 30 Yr Fixed,,Online,30.0,Fixed,4.625%,4.652758331931571%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage 15 Yr Fixed,,Online,15.0,Fixed,4.125%,4.13601578214702%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30.0,Fixed,4.25%,4.63%,100000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20.0,Fixed,4.25%,4.758%,100000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15.0,Fixed,4.0%,4.611%,100000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30.0,Variable,4.25%,4.889%,100000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30.0,Variable,4.0%,4.87%,100000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30.0,Variable,3.75%,4.915%,100000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30.0,Fixed,4.25%,4.585%,300000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20.0,Fixed,4.125%,4.641%,300000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15.0,Fixed,4.0%,4.611%,300000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30.0,Variable,4.125%,4.796%,300000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30.0,Variable,3.75%,4.77%,300000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30.0,Variable,3.625%,4.855%,300000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30.0,Fixed,4.25%,4.585%,500000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20.0,Fixed,4.125%,4.641%,500000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15.0,Fixed,4.0%,4.611%,500000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30.0,Variable,4.125%,4.796%,500000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30.0,Variable,3.75%,4.77%,500000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30.0,Variable,3.625%,4.855%,500000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,3.875%,4.451%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.125%,4.997%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.125%,4.906%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.858%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,3.875%,4.703%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.375%,5.189%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.500%,4.945%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.750%,5.057%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.7%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.500%,4.725%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,3.875%,4.306%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,3.875%,4.175%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.125%,4.747%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.375%,5.025%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.125%,4.837%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.750%,4.895%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.500%,4.652%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,4.375%,4.605%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.375%,4.507%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,3.875%,4.606%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.125%,4.58%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.000%,4.88%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.125%,4.795%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,4.375%,4.678%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,,Offline,30.0,Variable,4.875%,5.244%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,,Offline,30.0,Fixed,4.625%,4.741%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,,Offline,20.0,Fixed,4.500%,4.613%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,,Offline,15.0,Fixed,4.125%,4.268%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,,Offline,30.0,Variable,4.500%,4.861%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30.0,Fixed,4.5%,5.369%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,FHA 15 Yr Fixed,,Offline,15.0,Fixed,4.125%,5.236%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30.0,Fixed,4.25%,5.077%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 YR FIXED,,Offline,30.0,Fixed,4.125%,4.96%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Yr Fixed,,Offline,30.0,Fixed,4.25%,4.554%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-07-10,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 YR FIXED,,Offline,30.0,Fixed,4.25%,4.495%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
