Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY,Source
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCF,Performance Select Interest Checking,100000,,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,Standard Rates,1,2499,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,Standard Rates,2500,,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,'S' is for Savings,1,499,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,'S' is for Savings,500,1499,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,'S' is for Savings,1500,,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,"Premiere
														Money Market Account ",1,9999,Offline,,Fixed,0.03%,0.03%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,"Premiere
														Money Market Account ",10000,24999,Offline,,Fixed,0.09%,0.09%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,"Premiere
														Money Market Account ",25000,49999,Offline,,Fixed,0.11%,0.11%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,"Premiere
														Money Market Account ",50000,99999,Offline,,Fixed,0.13%,0.13%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,"Premiere
														Money Market Account ",100000,249999,Offline,,Fixed,0.15%,0.15%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,"Premiere
														Money Market Account ",250000,499999,Offline,,Fixed,0.15%,0.15%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,"Premiere
														Money Market Account ",500000,999999,Offline,,Fixed,0.17%,0.17%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,"Premiere
														Money Market Account ",1000000,,Offline,,Fixed,0.17%,0.17%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,1,999,Offline,6.0,Fixed,0.04%,0.04%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,1000,9999,Offline,6.0,Fixed,0.06%,0.06%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,10000,24999,Offline,6.0,Fixed,0.08%,0.08%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,25000,99999,Offline,6.0,Fixed,0.1%,0.1%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,100000,499999,Offline,6.0,Fixed,0.12%,0.12%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,500000,,Offline,6.0,Fixed,0.14%,0.14%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,1,999,Offline,12.0,Fixed,0.04%,0.04%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,1000,9999,Offline,12.0,Fixed,0.15%,0.15%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,10000,24999,Offline,12.0,Fixed,0.18%,0.18%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,25000,99999,Offline,12.0,Fixed,0.2%,0.2%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,100000,499999,Offline,12.0,Fixed,0.22%,0.22%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,500000,,Offline,12.0,Fixed,0.24%,0.24%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,1,999,Offline,36.0,Fixed,0.04%,0.04%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,1000,9999,Offline,36.0,Fixed,0.3%,0.3%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,10000,24999,Offline,36.0,Fixed,0.35%,0.35%,Bank Website
