Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-09-07,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 5/1 ARM,,Online,30.0,Variable,4.625%,4.98203105901601%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 7/1 ARM,,Online,30.0,Variable,4.625%,4.92536654714329%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 10/1 ARM,,Online,30.0,Variable,4.75%,4.9122053099424505%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage 20 Yr Fixed,,Online,20.0,Fixed,4.5%,4.53570944466845%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage 30 Yr Fixed,,Online,30.0,Fixed,4.625%,4.637728698225381%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage 15 Yr Fixed,,Online,15.0,Fixed,4.0%,4.07138886439429%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage 10 Yr Fixed,,Online,10.0,Fixed,4.125%,4.20184788401502%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30.0,Fixed,4.375%,4.757%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20.0,Fixed,4.375%,4.816%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15.0,Fixed,4.0%,4.626%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30.0,Variable,4.25%,4.944%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30.0,Variable,4.125%,4.997%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30.0,Variable,3.75%,4.986%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30.0,Fixed,4.375%,4.712%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20.0,Fixed,4.25%,4.713%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15.0,Fixed,4.0%,4.626%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30.0,Variable,4.125%,4.851%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30.0,Variable,3.875%,4.888%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30.0,Variable,3.625%,4.922%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30.0,Fixed,4.375%,4.712%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20.0,Fixed,4.25%,4.713%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15.0,Fixed,4.0%,4.626%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30.0,Variable,4.125%,4.851%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30.0,Variable,3.875%,4.888%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30.0,Variable,3.625%,4.922%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.500%,4.961%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,3.875%,4.451%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.375%,5.03%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-07,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.375%,5.104%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
