Error Location,Error Type,Row Number,Value,Column Name,Bank_Name
allowedFieldError,Value Not found,77,25%,Mortgage_Down_Payment,SUNTRUST BANKS INC
allowedFieldError,Value Not found,80,5%,Mortgage_Down_Payment,SUNTRUST BANKS INC
allowedFieldError,Value Not found,81,0%,Mortgage_Down_Payment,SUNTRUST BANKS INC
allowedFieldError,Value Not found,82,0%,Mortgage_Down_Payment,SUNTRUST BANKS INC
allowedFieldError,Value Not found,83,0%,Mortgage_Down_Payment,SUNTRUST BANKS INC
allowedFieldError,Value Not found,84,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,85,0,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,86,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,87,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,88,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,89,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,90,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,91,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,92,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,93,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,94,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,95,0,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,96,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,97,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,98,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,99,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,100,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,101,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,102,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,103,25,Mortgage_Down_Payment,WELLS FARGO
allowedFieldError,Value Not found,9,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,10,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,11,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,12,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,13,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,14,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,15,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,16,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,17,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,18,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,19,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,20,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,21,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,22,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,23,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,24,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,25,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,26,740+,Credit_Score,BANK OF AMERICA CORP
allowedFieldError,Value Not found,80,660,Credit_Score,SUNTRUST BANKS INC
allowedFieldError,Value Not found,84,7400.51000.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,85,7400.125258.25,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,86,7400.51000.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,87,7400.51000.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,88,7400.375750.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,89,7400.51000.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,90,7800.53750.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,91,7800.53750.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,92,7800.251875.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,93,7800.251875.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,94,7400.51000.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,95,7400.51033.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,96,7400.25500.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,97,7400.25500.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,98,7400.25500.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,99,7400.51000.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,100,7800.3752812.50,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,101,7800.3752812.50,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,102,7800.251875.00,Credit_Score,WELLS FARGO
allowedFieldError,Value Not found,103,7800.251875.00,Credit_Score,WELLS FARGO
