Error Location,Error Type,Row Number,Value,Column Name,Bank_Name
Comparison Error,More Than Expected Value,24,"[1.85, 1.8345]",Interest,CAPITAL ONE
Comparison Error,More Than Expected Value,28,"[2.4, 2.374]",Interest,CITIGROUP INC
Comparison Error,More Than Expected Value,29,"[2.55, 2.5207]",Interest,CITIGROUP INC
