Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY,Source
 2018-06-08,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-06-08,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 5/1 ARM,,Online,30.0,Variable,4.75%,4.93475091801238%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-06-08,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 7/1 ARM,,Online,30.0,Variable,4.75%,4.91669258168465%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-06-08,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 10/1 ARM,,Online,30.0,Variable,4.875%,4.9443761747074095%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-06-08,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage 20 Yr Fixed,,Online,20.0,Fixed,4.5%,4.5054335710885995%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-06-08,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage 30 Yr Fixed,,Online,30.0,Fixed,4.625%,4.65612603004953%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-06-08,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage 15 Yr Fixed,,Online,15.0,Fixed,4.125%,4.1527844314146005%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-06-08,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage 10 Yr Fixed,,Online,10.0,Fixed,4.25%,4.27920306775037%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-06-08,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30.0,Fixed,4.375%,4.74%,100000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-06-08,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20.0,Fixed,4.375%,4.85%,100000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-06-08,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15.0,Fixed,4.0%,4.619%,100000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-06-08,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30.0,Variable,4.25%,4.897%,100000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-06-08,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30.0,Variable,4.0%,4.889%,100000.0,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
