Error Location,Error Type,Row Number,Value,Column Name,Bank_Name
Comparison Error,More Than Expected Value,17,"[1.6, 1.5884]",Interest,CAPITAL ONE
Comparison Error,More Than Expected Value,21,"[2.3, 2.2761]",Interest,CITIGROUP INC
Comparison Error,More Than Expected Value,22,"[2.55, 2.5207]",Interest,CITIGROUP INC
